Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.763909817,4.395540237,4.71468,4.73986,4.92365,,4.40848,4.68132,,4.81504,4.99923,5.92479,6.92927,6.11913,6.54906,6.80806,6.16293,6.48175,6.1899,,
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,1.160359979,1.11717999,1.427880049,,1.30332005,,,,1.73980999,1.840929985,1.909170032,1.729979992,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47945,3.46201,2.6042,3.45446,3.69522,3.2558,4.22836,4.05887,
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,4.090219975,5.722690105,5.058509827,,,,,,,,,,,2.567120075,,2.60753,,,,,2.12011,2.28146,,,,3.42132,,,,,,,,
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44698,3.814640045,3.083509922,3.37947011,3.536979914,3.592930079,3.43017,3.4587,3.1178,3.13823,3.22752,3.28155,3.19146,3.27593,,,,,,3.5393,,3.43797,3.95464,,
Andorra,AND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.713279963,,,,,1.68153,,1.52269,1.59653,2.18989,2.07097,2.93007,3.15484,3.05742,3.14508,,2.43807,2.99781,3.25368,3.2567,3.19556,
Arab World,ARB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,1.458089948,,1.936200023,1.780519962,1.923519969,1.843600035,1.165639997,1.71984005,1.935549974,2.400279999,2.607150078,,1.597869992,1.617499948,2.56972003,1.361860037,1.26154995,1.282299995,,1.046120048,1.067379951,,,,,,3.731980085,,4.039869785,4.521679878,4.58031,4.83374,4.01734,3.53505,3.48652,3.86001,4.12821,4.4626,4.84441,5.53105,5.01971,5.29063,5.34583,5.43661,5.36144,5.77611,5.57218,5.50825,
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.848430037,,,2.235189915,2.77273,2.46944,2.13504,2.14504,2.48673,2.71203,2.71577,3.01894,3.17273,3.84079,3.249,3.14385,2.77248,2.65018,2.24724,2.80591,2.75812,2.70545,
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.753979921,,,3.39428,,,,,,,2.51724,,,,,,,,,
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,6.010409832,5.898389816,5.655459881,,5.481080055,5.373360157,,5.406770229,5.281909943,5.071589947,4.918809891,4.748320103,4.675559998,4.793849945,4.691720009,5.516540051,5.255000114,5.143909931,5.240970135,,,,4.89369,,,,,4.91573,4.75359,4.66711,4.64397,5.09327,5.55917,5.08313,4.87765,5.23801,5.17368,5.32175,5.28031,,
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,4.147160053,4.282350063,4.450150013,4.515470028,4.655940056,5.127960205,5.237659931,4.95401001,5.159790039,5.038159847,5.008969784,5.367809772,5.362989902,5.303780079,5.294469833,5.297210217,5.499959946,5.376110077,5.190730095,5.01816988,4.957250118,5.103219986,5.296979904,5.251999855,,5.428349972,5.259900093,,6.103740215,6.112339973,5.58881,5.57548,5.52213,5.36183,5.30243,5.24937,5.22652,5.1469,5.26396,5.73025,5.70048,5.59227,5.4804,5.54711,5.44762,5.45675,5.5007,,
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.083330154,,,3.337369919,3.512569904,,3.380019903,4.212140083,3.85399,3.50342,3.15446,3.28615,3.4477,2.97462,2.55552,2.54928,2.44093,3.22431,2.78062,2.43564,2.06763,2.44213,2.63304,2.95168,2.90341,2.48097,
Burundi,BDI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,2.803359985,,3.346760035,,,,,,,,,3.359329939,3.493659973,3.805850029,,4.565269947,5.015110016,4.083240032,,,3.417449951,2.64548,2.90391,3.00493,,3.74496,3.63216,,,5.1929,6.17195,6.77525,6.31925,6.16786,5.99536,6.78452,6.37054,4.69272,4.76183,
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,5.732140064,5.700530052,5.956940174,5.407400131,5.351699829,5.282360077,5.406380177,5.2884202,,,,4.826459885,4.552760124,4.27782011,,,,,5.343709946,5.382229805,2.972749949,3.026109934,,,,,,,,,5.76901,,,6.29139,6.41536,6.40799,6.37874,,6.63966,6.63852,6.54091,6.54428,,
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.747889996,2.626650095,2.88869,3.23235,2.95134,3.12027,3.50804,3.63079,3.50328,3.22981,3.79566,4.22204,5.02932,,4.86816,4.54732,4.32113,4.35643,3.99469,,
Burkina Faso,BFA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,1.679829955,,1.961799979,,,1.754480004,,1.763960004,,,1.426079988,,,,,,3.451100111,,1.440260053,,,,,,,,,4.4326,4.47876,4.58858,,,3.93896,4.48326,4.05353,4.59384,4.55994,4.16607,,,
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,1.130929947,0.937600017,1.071499944,1.011639953,1.032670021,1.223029971,1.271180034,1.343490005,1.513640046,,,1.519119978,1.425660014,1.631770015,1.692620039,,,,1.952469945,,2.132819891,2.12508,2.17193,2.01715,2.06939,1.94014,,2.13129,2.20222,2.05457,1.93942,,2.1327,2.1755,1.96616,,,1.53554,2.47255,1.98602
Bulgaria,BGR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,3.52947998,,,,,,,,,,4.454060078,5.429619789,5.2604599,4.950489998,4.170660019,3.44701004,2.711980104,,2.755660057,,,3.41018,3.41238,4.02938,2.33781,4.14106,3.93202,3.68211,4.22437,4.28575,3.86346,3.56303,3.50203,4.07685,,,,,
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87436,2.575,2.49678,,,,2.64531,2.47688,2.46746,2.66808,,2.32721,
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23284,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.000010014,6.19662,,,,5.71226,5.87103,6.07696,5.1521,,4.36894,5.09167,4.68479,4.95964,5.00942,4.81831,4.78752,4.94655,4.82003,
Belize,BLZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44343996,5.02843,5.79693,,5.20682,5.29927,,,,5.68789,6.10014,6.62963,,,6.2572,6.4953,6.76618,7.12481,7.37876,
Bermuda,BMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,2.882100105,,2.409590006,,,,,,,,,,2.316819906,,,,,2.394779921,2.465460062,2.688019991,,,,,,2.152470112,,,,,1.66627,1.77588,1.98877,,,,2.58609,2.5852,,,,1.75958,1.6986,,1.50039,
Bolivia,BOL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.784210205,5.608170033,4.657410145,,5.523009777,5.659319878,5.47342,5.89946,6.23031,6.37904,,,6.31361,,7.03973,8.0812,7.60011,6.88847,6.42524,6.25793,7.28535,,,,
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.568160057,,,4.756659985,3.800620079,3.94893,3.84468,3.75037,,3.97448,4.47908,4.8706,4.97426,5.26884,5.46355,5.6488,5.73741,5.8551,5.83885,5.94848,6.24106,,,
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,5.9447999,6.517159939,,,,,,,,,,,,,,6.601990223,,,,,,,,4.254580021,4.62151,5.93509,5.76335,6.12136,5.90407,5.55696,,5.27164,4.92445,5.11939,6.03487,,5.2589,5.09774,6.22941,,5.09272,4.65652,
Brunei Darussalam,BRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,6.239150047,4.995019913,4.039289951,8.793290138,3.39270997,1.961339951,1.970080018,,2.114239931,1.545519948,1.191079974,1.616780043,1.697149992,,,,,4.737730026,5.409029961,4.69012022,3.959959984,3.668940067,3.747689962,4.29403019,,,,,5.253950119,4.932050228,3.70591,,,,,,,,,,2.04661,3.3221,2.88959,,3.35319,,4.42541,,
Bhutan,BTN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51379,5.7178,,,6.41799,7.0781,,,4.7975,4.62672,4.02447,4.65258,,5.58966,5.90333,7.38966,6.80249,7.02813,6.64043
Botswana,BWA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,4.387239933,3.906389952,3.262789965,3.674240112,5.649429798,6.063960075,5.40031004,5.952139854,6.141729832,5.46931982,,,5.552269936,5.551660061,5.650720119,5.185929775,6.117730141,6.151110172,,5.739630222,,6.840610027,,,,,,,,,,,,,10.67859,,8.85149,,9.63292,,,,,,,,,
Central African Republic,CAF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,3.170530081,,,,,,,,2.207750082,2.548049927,,,2.244199991,2.276309967,,,,,,,,1.690019965,1.61265,,1.51957,1.5398,1.62453,1.65222,1.41506,1.31332,1.29001,1.30355,1.20455,1.22862,,,,,,,
Canada,CAN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,7.710189819,7.615409851,7.037499905,6.689630032,6.442949772,6.720990181,6.733530045,7.097670078,6.714749813,6.484670162,6.43061018,6.519139767,6.880430222,6.644040108,6.212870121,6.04418993,6.32446003,6.176149845,6.098320007,5.991990089,6.884300232,6.770939827,7.704259872,6.680019855,6.324450016,,,5.51196003,5.549940109,5.44201,4.96958,5.01073,,,4.78215,,4.78036,4.63826,4.85264,5.36993,5.27444,,,,,,,
Central Europe and the Baltics,CEB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,4.360300064,4.322100163,4.390319824,4.497429848,4.353189945,4.29914999,4.335649967,4.29061985,4.356999874,4.266739845,4.522940159,4.680630207,,5.092060089,5.055300236,5.059430122,5.071919918,,4.887020111,4.890230179,4.7814,4.95981,5.31429,5.52376,5.44573,5.2041,4.96158,4.68738,4.86799,5.04118,4.92605,4.96986,5.03337,5.04048,5.05123,5.10057,5.11332,,
Channel Islands,CHI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,3.751209974,3.5947299,,,3.070450068,3.4823699,4.21999979,4.914299965,,,,,,2.82329011,,,2.250159979,,,2.383719921,2.511820078,2.564699888,2.796250105,3.012459993,3.340150118,3.729219913,3.77583,,4.08121,3.96346,3.53839,3.26283,3.02153,3.21379,3.79243,4.23065,4.16209,4.04519,,4.52943,4.73018,4.8737,5.35064,5.41582,
China,CHN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,1.388739944,1.604760051,1.650820017,1.761150002,1.708500028,1.816570044,1.749539971,1.958840013,2.14805007,1.911900043,1.948809981,2.034480095,2.076920033,1.998630047,2.008140087,2.061549902,1.804250002,1.764179945,,,,1.65455997,1.657850027,1.985710025,1.841920018,1.853389978,,1.844329953,1.888039947,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,5.865389824,,7.531859875,7.045609951,5.69039011,6.785739899,6.462120056,,6.753670216,8.231389999,6.859759808,,,,,,,,,,,,6.781139851,6.50304985,4.78869009,4.301449776,4.056230068,4.030889988,3.787940025,4.094329834,3.70367,3.66868,4.09033,3.96799,4.12786,4.10575,4.0015,4.25833,4.34126,4.41246,4.55346,4.13755,4.65411,4.729,4.57743,4.82988,5.39423,5.14353,
Cameroon,CMR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,3.079869986,3.363889933,,,,,,,,,,2.984970093,3.496890068,3.246370077,,2.848340034,2.93091011,2.714730024,2.648960114,3.287100077,3.220230103,2.750999928,,,,,,,,1.77992,2.42418,,3.09142,3.01364,2.88717,2.74145,3.07523,2.61118,3.10942,2.99366,2.76677,2.69718,2.76802,2.68713,2.76805,2.65423,3.06699,
"Congo, Dem. Rep.",COD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,2.267309904,2.535049915,2.799819946,1.29945004,0.704140007,0.825699985,0.722500026,0.861199975,0.814840019,,,,,,,,,,,,,,,,,,,,,,1.52498,,,2.06221,1.95143,2.17044,2.11869,1.46951,
"Congo, Rep.",COG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,5.732299805,5.55095005,,5.23845005,,7.743020058,,,8.413310051,7.03813982,6.359240055,,,,,,,,,,,,,,6.373119831,4.910339832,,,4.068270206,,,,3.20832,2.83616,2.28813,1.83577,,,,,6.22079,,,,4.0172,4.56147,,,
Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,1.754340053,1.729120016,2.597239971,,,3.004290104,2.715270042,,,,2.705250025,,,,,,,,,3.926440001,4.44080019,3.51121,3.70868,4.26813,4.32514,4.07935,4.03313,3.92714,4.09244,3.94654,4.77454,4.84159,4.47262,4.37448,4.88174,4.62946,4.47039,4.47672,4.49839,
Comoros,COM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.201359987,,,,2.25842,,,,,,4.42265,,,2.83045,2.74784,2.38276,2.74473,2.48708,,,
Cabo Verde,CPV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.391769886,6.801680088,,,7.87682,,7.47664,,6.5296,5.40755,5.518,5.30896,5.56729,5.04361,,5.00144,4.96387,5.26691,5.28879,5.17322,
Costa Rica,CRI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,7.347169876,,4.885069847,4.957779884,,,4.420269966,,4.013229847,4.077849865,,,,,,3.371680021,3.910860062,,,5.416870117,4.68696,4.8511,5.17354,5.15636,4.91218,,4.63918,4.6589,4.91712,6.04635,6.63445,6.45535,6.68984,6.84934,6.86952,7.08254,7.09768,7.4026,
Caribbean small states,CSS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,8.36909008,,,,,,,,,,,7.14496994,,7.074769974,5.619480133,,,,6.208730221,6.755239964,7.70481,8.35809,9.57117,9.94086,10.26823,10.55778,9.05717,11.86821,14.05908,13.12486,12.83731,,,,,,,,
Curacao,CUW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93095,,,,,
Cayman Islands,CYM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34618,2.60739,,,,,,,,,,,,
Cyprus,CYP,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,4.335020065,3.819700003,3.385489941,3.312340021,3.353130102,3.426009893,3.791320086,3.731780052,,3.601910114,3.586960077,3.488970041,3.448709965,3.375469923,3.376270056,3.339240074,3.5753901,3.780299902,4.09555006,4.159969807,3.741230011,,,,4.772079945,4.98954,5.11552,5.58167,6.67023,6.11772,6.28667,6.33027,6.28083,6.72396,7.20621,6.58025,6.56242,,6.43177,6.37474,6.3753,,,
Czech Republic,CZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.775079966,4.184519768,4.678850174,4.545629978,4.270390034,,3.597199917,3.684809923,3.65089,3.74855,3.97256,4.13643,4.01424,3.89038,4.2171,3.86663,3.74455,4.17128,4.06446,4.27214,4.25086,4.09089,3.99462,5.78885,5.58738,,
Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41381979,4.334879875,4.420790195,4.48319006,,4.453450203,,,,,,,,4.2793,4.34303,4.40954,4.88048,4.91368,4.8078,4.93331,4.93497,4.92086,4.80518,4.80093,,
Djibouti,DJI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.629479885,9.66,7.80543,8.4476,8.88985,9.26467,8.36589,8.27878,8.40625,,,4.49022,,,,,,,,
Dominica,DMA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28990984,,,,,,,,,5.739860058,4.028580189,,,,,,,,,,,,,,,,3.38688,,,
Denmark,DNK,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,5.955520153,6.39357996,6.481299877,6.26609993,6.581530094,6.713129997,,5.672130108,5.753479958,5.586480141,5.910920143,,,,,,5.83825016,6.078080177,6.335330009,5.838140011,,5.596759796,,7.772819996,7.471059799,7.471030235,7.884940147,,8.106739998,7.931159973,8.08433,8.21545,8.21303,8.12194,8.20763,8.08557,7.72991,7.6156,7.47605,8.44888,8.55955,8.48486,7.23782,8.49443,7.63485,,,,
Dominican Republic,DOM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,2.640789986,,,,,,,,,,,,1.538910031,1.463829994,1.334550023,1.210190058,,,,,,,,0.773949981,0.893369973,1.033300042,1.22724998,,,,1.88829,1.96783,1.91401,1.84465,,,,2.04679,,,,,,,,,,,
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,7.182010174,6.597420216,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33702,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
